SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
57,DC4,2019-12-12,NA,2929.152547,18.66226886,NA,4.11,39.56523242,2.51714509133177e-08,6.151396797,NA,NA,2019-12-12,2019-12-12,2019-12-12,12-Dec,NA,2,,DC4 2019-12-12
57,DC4,2019-11-20,1899-12-31 09:40:00,2045.251467,7.380203697,NA,4.07,15.64651527,1.75757138223681e-08,4.295151284,NA,NA,2019-11-20 09:40,2019-11-20,2019-11-20,20-Nov,NA,2,,DC4 2019-11-20
57,DC4,2022-05-16,1899-12-31 15:32:00,1604,4.03,NA,4.28,8.543863979,1.37838527073649e-08,3.368496623,NA,NA,2022-05-16 15:32,2022-05-16,2022-05-16,16-May,8.536229167,8.536229167,,DC4 2022-05-16
57,DC4,2021-05-25,1899-12-31 13:20:00,1815.489374,NA,NA,4.1,NA,1.56012706482238e-08,3.812637048,NA,NA,2021-05-25 13:20,2021-05-25,2021-05-25,25-May,8.449447917,8.449447917,,DC4 2021-05-25
57,DC4,2022-02-09,1899-12-31 12:54:00,7737,195.37,NA,4.29,414.1971974,6.64873244369589e-08,16.24816607,NA,NA,2022-02-09 12:54,2022-02-09,2022-02-09,09-Feb,NA,2,,DC4 2022-02-09
57,DC4,2020-11-03,1899-12-31 09:50:00,1345.213866,0.855122389,NA,3.93,1.812915478,1.15599936374598e-08,2.825030154,NA,NA,2020-11-03 09:50,2020-11-03,2020-11-03,03-Nov,NA,2,,DC4 2020-11-03
57,DC4,2021-07-07,1899-12-31 09:49:00,9288.703498,540.7743198,NA,3.97,1146.476981,7.98217711085606e-08,19.50683689,NA,NA,2021-07-07 09:49,2021-07-07,2021-07-07,07-Jul,17.42291667,17.42291667,,DC4 2021-07-07
57,DC4,2021-04-29,1899-12-31 13:28:00,1303.896062,NA,NA,4.17,NA,1.12049322071401e-08,2.738260275,NA,NA,2021-04-29 13:28,2021-04-29,2021-04-29,29-Apr,NA,2,,DC4 2021-04-29
57,DC4,2021-08-03,1899-12-31 09:55:00,2022.071609,32.18884482,NA,3.99,68.24245951,1.73765194689912e-08,4.246472187,NA,NA,2021-08-03 09:55,2021-08-03,2021-08-03,03-Aug,12.36458333,12.36458333,,DC4 2021-08-03
57,DC4,2022-05-06,1899-12-31 12:34:00,1873,1.62,NA,4.37,3.434506116,1.60954838658943e-08,3.933412827,NA,NA,2022-05-06 12:34,2022-05-06,2022-05-06,06-May,NA,2,,DC4 2022-05-06
