"","Date","Site_id","pH","EC_uScm","DOC_mgL","NO2_NO3_ugL","DN_mgL","NH4_ugL","PO4_ugL","SO4_ugL","Mn_ugL","Na_ugL","Cl_ugL","Ca_ugL","P_ugL","Si_ugL","Mg_ugL","K_ugL","Fe_ugL","Hg_ugL","d18O","d2H","DIC_mgL","pCO2_uatm","CH4_ugL","CO2_mgL","dexcess","pH_MW","WT_MW","DIC_mgL_MW","CO2_mgL_MW","CH4_ugL_MW","Date_MW","row_id"
"1",2018-12-03,"DC1",NA,NA,11.3,NA,0.544366666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",2019-04-21,"DC1",4.55,46.03,26.9933333333333,45.36,0.978433333333333,6.93,NA,2719.41,42.8577320675618,2161.70853933079,1168.84,4004.80217682999,13.8141123970035,4346.32116306736,1307.11256427104,757.681733564011,546.959032296411,0.00723302179739822,-13.8872005233869,-100.876346521116,2.42445893779513,2785.77293437019,1.05935919479473,2.40034093571345,10.2212576659792,4.55,0.218033633506521,2.42445893779513,2.40152350051518,1.05935919479473,2019-04-21,2
"3",2019-04-23,"DC1",4.62,37.44,29.7066666666667,35.33,0.591966666666667,8.05,NA,1704.01,36.7886735012174,2123.00592929804,1022.31,1982.85093928474,15.0549689790546,4505.68733781542,889.444725437568,332.790066595573,546.132863270765,0.00790643353882742,-14.2317628286314,-104.430015554188,1.63088887395781,1725.39369499007,NA,1.61297293179322,9.4240870748632,4.62,-0.063932732986958,1.63087297723088,1.61294678234445,NA,2019-04-23,3
"4",2019-04-25,"DC1",4.68,31.45,27.1633333333333,16.75,0.504166666666667,8.34,NA,1249.53,24.0194815893528,1918.2256585366,838.64,1802.59475396516,10.1700283584691,4014.57516257565,760.581384876274,280.32359853429,534.169645843847,0.00740551002757184,-14.4775384982505,-106.447827462695,1.22199807271024,1290.72403267352,NA,1.20662486084335,9.37248052330899,4.68,-0.0639327329869571,1.22198616155554,1.20660415787766,NA,2019-04-25,4
"5",2019-04-29,"DC1",4.72,28.93,31.4333333333333,5.59,0.677533333333333,6.04,NA,1336.12,19.9707055592872,2143.08992542118,787.753,1655.2471032544,18.219742795774,4245.89790316618,700.919220217932,357.747680560383,452.619901447624,0.0152555868695555,-14.2264876663107,-104.481539403882,1.12652916593852,1251.53494848539,NA,1.11041763372074,9.3303619266036,4.72,1.26421095262469,1.12651818534578,1.11039776870684,NA,2019-04-29,5
"6",2019-05-08,"DC1",4.8,29.22,17.4533333333333,5.65,0.315666666666667,5.67,NA,1205.27,15.3434461445763,2001.54240834874,894.460999999999,1768.38622029715,12.0615529481331,4570.27886347077,727.558615010348,241.03064785317,460.795094596484,0.0152376222327106,-13.6758246646668,-100.368780992071,1.05669071240914,1182.62872774176,NA,1.03845562037054,9.03781632526341,4.8,1.53092668083292,1.05668041255121,1.03843535768319,NA,2019-05-08,6
"7",2019-05-13,"DC1",4.81,28.85,23.74,5.93,0.4332,5.26,NA,1192.83,13.8693891546962,2131.61078573911,957.149,1785.75180908024,11.1987486946332,4505.41654768234,737.775246822622,201.612139666564,464.673957316938,0.0125076291412945,-13.5999901367018,-99.3974472758044,1.16199881153489,1355.79476246554,NA,1.14085860263221,9.40247381781,4.81,2.6378475134121,1.16198748520965,1.14083607873869,NA,2019-05-13,7
"8",2019-05-23,"DC1",4.83,28.66,18.91,5.33,0.3603,3.66,NA,1495.66,8.25986862281623,2215.98487495771,964.472,1697.92679485554,7.70203223551645,4457.22914983665,723.842333786649,53.9554791788058,378.996705745884,0.00845887748441304,-13.2928762507245,-96.529291964021,1.4662503935224,1863.1354341498,NA,1.43659836923812,9.81371804177499,4.83,4.96710862038727,1.46623610157247,1.43656939244919,NA,2019-05-23,8
"9",2019-06-05,"DC1",4.86,29.23,21.7633333333333,4.87,0.389266666666667,3.74,NA,1343.66999999999,7.4862290708877,2162.53726309759,909.264,1770.9773577383,8.03969952167586,5167.6782723983,703.735408569026,57.7142829065125,434.430846609793,0.00887758613198156,-13.0327563107053,-94.3763033128298,1.43328256295384,2007.44794620516,NA,1.40011782844362,9.88574717281261,4.86,7.74608212312295,1.43326859235051,1.40008876371752,NA,2019-06-05,9
"10",2019-06-18,"DC1",4.86,28.31,18.59,5.54,0.3157,3.49,NA,1407.25,6.40383650782846,2099.37228122105,836.416999999999,1719.73489373896,17.0953618302022,4397.02091317291,669.586743153647,157.691501492125,529.518944469014,0.00806859970052021,-12.9286613526345,-93.166953147302,2.97949945287065,4759.23679341742,NA,2.90442430925181,10.262337673774,4.86,10,2.97949945287065,2.90694479868506,NA,2019-06-18,10
"11",2019-11-20,"DC1",4.73,31.71,14.93,6.22,0.287666666666667,9.7,NA,812.483,18.0334159948407,2121.87031692777,534.312,1451.0442044516,27.0345697352734,5194.74704986377,659.977501480849,112.256380782249,335.752893231389,0.00545725298154572,-13.1150061712428,-95.192746236234,1.45398271461034,1662.24616899601,NA,1.4322622908159,9.7273031337084,4.73,5,1.45398271461034,1.43047324314285,NA,2019-11-20,11
"12",2020-02-11,"DC1",4.96,30.75,15.9833333333333,4.29,0.2922,3.2,0.52,1822.34,7.77049916660015,2293.2392900089,1105.8,1463.25789577588,23.3343609380312,5411.78067382822,689.811856479329,235.572933159042,342.404871815059,0.00487612029536908,-12.94319204671,-93.9786657793239,1.88316492675655,1997.56711568837,NA,1.83815463750086,9.56687059435609,4.96,0.334652895293022,1.88314657102484,1.8381110277116,NA,2020-02-11,12
"13",2020-03-17,"DC1",5.13,30,11.65,4.65,0.204966666666667,3.12,0.8,NA,2.4808873394328,2027.04136349214,NA,1241.62488725617,24.0546768123312,5256.67418517773,560.507564373531,304.424549918885,262.15870197705,0.00365477173891952,-13.0497982506334,-94.5816310432227,1.71686390470995,1811.14441761053,NA,1.65666197483901,9.8167549618445,5.13,0.486369778022336,1.71684716996051,1.65661195259331,NA,2020-03-17,13
"14",2020-03-31,"DC1",5.21,30,12.08,4.18,0.2235,2.47,0.46,1654.29,1.61917579360387,2004.6515044601,989.411999999999,1216.30635840057,9.76108953397937,5064.76312912914,476.829612319985,231.096941941714,252.242276106856,NA,-12.9825014122576,-94.2673020299078,1.51740912534632,1576.04078583541,NA,1.45430700577826,9.59270926815299,5.21,0.264276021878858,1.51739433473802,1.45425734538329,NA,2020-03-31,14
"15",2020-04-09,"DC1",5.24,30,11.6266666666667,4.4,0.203666666666667,2.46,1.11,1775.69,1.55748042739473,2079.68433212134,971.191,1315.47049633382,17.4326164538134,5425.63250175165,583.227246404508,244.647435552863,254.601169104236,0.00292960193267174,-13.0826581675777,-94.7276650096571,1.67019954785405,1763.43936896443,NA,1.59494760498893,9.9336003309645,5.24,0.772951501676801,1.67018326795506,1.59489044680552,NA,2020-04-09,15
"16",2020-04-16,"DC1",5.22,30,11.98,3.38,0.2077,1.8,0.45,1750.66,1.63707139860536,2083.26624248554,992.047,1264.86952265216,17.5903701565055,5222.49588992952,494.802674256858,244.357330796084,278.946692616711,0.00319770866945379,-13.0205466748152,-94.7982828161129,1.82155739568095,1915.88502788415,NA,1.74334949468183,9.3660905824087,5.22,0.618873204269164,1.82153964045497,1.74328898741656,NA,2020-04-16,16
"17",2020-04-20,"DC1",4.97,30,28.21,8.65,0.480466666666667,8.92,2.04,962.283,10.7061994473845,2211.90782449004,662.902,1918.82505285766,24.5549511796635,5218.09902808833,721.810227566525,264.565826134209,583.202903733363,0.00607819439254382,-13.4990293117971,-98.2999351726722,1.99977097068714,2156.30920703636,NA,1.95027981449562,9.69229932170461,4.97,0.772951501676801,1.99975147836393,1.95023289786051,NA,2020-04-20,17
"18",2020-04-24,"DC1",4.94,30,39.64,7.51,0.704066666666667,5.6,2.83,1210.35,8.52610251336228,1886.71327318549,830.65,1674.48638917805,20.9040947842256,4491.6314078631,662.460649992874,205.303295281668,492.040244131696,0.00770774711201984,-13.4740468153023,-98.482770941586,1.72388589372163,1869.33224417739,NA,1.68387853699714,9.3096035808324,4.94,0.876388230743144,1.7238690905269,1.68383959557398,NA,2020-04-24,18
